		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)
VARIABLES	LABELS	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb	ln_pdrb
																																																																
2022.year	year = 2022	0.413***		-0.0850***	0.413***		-0.0850***	0.413***		-0.0850***	0.413***		-0.0850***	0.413***		-0.0850***	0.413***		-0.0850***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***	0.420***		-0.0383***
		(0.0206)		(0.0116)	(0.0206)		(0.0116)	(0.0206)		(0.0116)	(0.0206)		(0.0116)	(0.0206)		(0.0116)	(0.0206)		(0.0116)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)	(0.0210)		(0.00246)
scarring	scarring			0.498***			0.498***			0.498***			0.498***			0.498***			0.498***			0.458***			0.458***			0.458***			0.458***			0.458***			0.458***			0.458***			0.458***			0.458***			0.458***			0.458***			0.458***			0.458***			0.458***			0.458***
				(0.0265)			(0.0265)			(0.0265)			(0.0265)			(0.0265)			(0.0265)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)			(0.0220)
2024o.year	year = 2024, omitted			-			-			-			-			-			-																																													
																																																																
2023o.year	year = 2023, omitted																					-			-			-			-			-			-			-			-			-			-			-			-			-			-			-
																																																																
Constant	Constant	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.35***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***	10.33***
		(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0433)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)	(0.0325)
